Parameter,Value
network_capacity_type,MEDIUM
LINK_LENGTH_METERS,250.0
relay_connectivity_config,MINIMAL
ew_location,"(10000.0, 0.0)"
ew_power_W,100.0
BANDWIDTH_MHZ_RANGE,"(400, 1200)"
EW_JAMMER_BW_AREA_SELECTION,random
start_point,"(0.0, 0.0)"
end_point,"(10000.0, 0.0)"
step_size_m,10.0
max_steps,1000
logging_enabled,True
csv_output_enabled,True
csv_filename,swarm_simulation_log_v3.csv
EW_JAMMER_ACTUAL_BW_AREA,2

step,leader_pos_x,leader_pos_y,connected_drones_count,edge_u,edge_v,is_active,current_capacity,required_safety_capacity,bw_area,is_ew_susceptible
18,180.0,0.0,13,R2,S4,True,6768677.67382266,500000.0,4,False
18,180.0,0.0,13,R3,A1,True,4638546.139214373,500000.0,2,True
18,180.0,0.0,13,R3,A2,True,7043863.120225582,500000.0,3,False
18,180.0,0.0,13,R4,A3,True,7830535.74603555,500000.0,1,False
18,180.0,0.0,13,R4,A4,True,6768677.67382266,500000.0,4,False
19,190.0,0.0,13,M1,R1,True,7830535.74603555,1000000.0,1,False
19,190.0,0.0,13,M1,R2,True,4573210.245320165,1000000.0,2,True
19,190.0,0.0,13,M1,R3,True,6768677.673822663,1000000.0,4,False
19,190.0,0.0,13,M1,R4,True,7043863.120225582,1000000.0,3,False
19,190.0,0.0,13,R1,S1,True,4540791.709994969,500000.0,2,True
19,190.0,0.0,13,R1,S2,True,7043863.120225582,500000.0,3,False
19,190.0,0.0,13,R2,S3,True,7830535.74603555,500000.0,1,False
19,190.0,0.0,13,R2,S4,True,6768677.67382266,500000.0,4,False
19,190.0,0.0,13,R3,A1,True,4637160.055617793,500000.0,2,True
19,190.0,0.0,13,R3,A2,True,7043863.120225582,500000.0,3,False
19,190.0,0.0,13,R4,A3,True,7830535.74603555,500000.0,1,False
19,190.0,0.0,13,R4,A4,True,6768677.67382266,500000.0,4,False
20,200.0,0.0,13,M1,R1,True,7830535.74603555,1000000.0,1,False
20,200.0,0.0,13,M1,R2,True,4571755.333553709,1000000.0,2,True
20,200.0,0.0,13,M1,R3,True,6768677.673822663,1000000.0,4,False
20,200.0,0.0,13,M1,R4,True,7043863.120225582,1000000.0,3,False
20,200.0,0.0,13,R1,S1,True,4539302.283184331,500000.0,2,True
20,200.0,0.0,13,R1,S2,True,7043863.120225582,500000.0,3,False
20,200.0,0.0,13,R2,S3,True,7830535.74603555,500000.0,1,False
20,200.0,0.0,13,R2,S4,True,6768677.67382266,500000.0,4,False
20,200.0,0.0,13,R3,A1,True,4635772.5518682515,500000.0,2,True
20,200.0,0.0,13,R3,A2,True,7043863.120225582,500000.0,3,False
20,200.0,0.0,13,R4,A3,True,7830535.74603555,500000.0,1,False
20,200.0,0.0,13,R4,A4,True,6768677.67382266,500000.0,4,False
21,210.0,0.0,13,M1,R1,True,7830535.74603555,1000000.0,1,False
21,210.0,0.0,13,M1,R2,True,4570298.865249282,1000000.0,2,True
21,210.0,0.0,13,M1,R3,True,6768677.673822663,1000000.0,4,False
21,210.0,0.0,13,M1,R4,True,7043863.120225582,1000000.0,3,False
21,210.0,0.0,13,R1,S1,True,4537811.230619882,500000.0,2,True
21,210.0,0.0,13,R1,S2,True,7043863.120225582,500000.0,3,False
21,210.0,0.0,13,R2,S3,True,7830535.74603555,500000.0,1,False
21,210.0,0.0,13,R2,S4,True,6768677.67382266,500000.0,4,False
21,210.0,0.0,13,R3,A1,True,4634383.62523859,500000.0,2,True
21,210.0,0.0,13,R3,A2,True,7043863.120225582,500000.0,3,False
21,210.0,0.0,13,R4,A3,True,7830535.74603555,500000.0,1,False
21,210.0,0.0,13,R4,A4,True,6768677.67382266,500000.0,4,False
22,220.0,0.0,13,M1,R1,True,7830535.74603555,1000000.0,1,False
22,220.0,0.0,13,M1,R2,True,4568840.837267938,1000000.0,2,True
22,220.0,0.0,13,M1,R3,True,6768677.673822663,1000000.0,4,False
22,220.0,0.0,13,M1,R4,True,7043863.120225582,1000000.0,3,False
22,220.0,0.0,13,R1,S1,True,4536318.548951403,500000.0,2,True
22,220.0,0.0,13,R1,S2,True,7043863.120225582,500000.0,3,False
22,220.0,0.0,13,R2,S3,True,7830535.74603555,500000.0,1,False
22,220.0,0.0,13,R2,S4,True,6768677.67382266,500000.0,4,False
22,220.0,0.0,13,R3,A1,True,4632993.272993656,500000.0,2,True
22,220.0,0.0,13,R3,A2,True,7043863.120225582,500000.0,3,False
22,220.0,0.0,13,R4,A3,True,7830535.74603555,500000.0,1,False
22,220.0,0.0,13,R4,A4,True,6768677.67382266,500000.0,4,False
23,230.0,0.0,13,M1,R1,True,7830535.74603555,1000000.0,1,False
23,230.0,0.0,13,M1,R2,True,4567381.246461075,1000000.0,2,True
23,230.0,0.0,13,M1,R3,True,6768677.673822663,1000000.0,4,False
23,230.0,0.0,13,M1,R4,True,7043863.120225582,1000000.0,3,False
23,230.0,0.0,13,R1,S1,True,4534824.234818176,500000.0,2,True
23,230.0,0.0,13,R1,S2,True,7043863.120225582,500000.0,3,False
23,230.0,0.0,13,R2,S3,True,7830535.74603555,500000.0,1,False
23,230.0,0.0,13,R2,S4,True,6768677.67382266,500000.0,4,False
23,230.0,0.0,13,R3,A1,True,4631601.4923902955,500000.0,2,True
23,230.0,0.0,13,R3,A2,True,7043863.120225582,500000.0,3,False
23,230.0,0.0,13,R4,A3,True,7830535.74603555,500000.0,1,False
23,230.0,0.0,13,R4,A4,True,6768677.67382266,500000.0,4,False
24,240.0,0.0,13,M1,R1,True,7830535.74603555,1000000.0,1,False
24,240.0,0.0,13,M1,R2,True,4565920.089670425,1000000.0,2,True
24,240.0,0.0,13,M1,R3,True,6768677.673822663,1000000.0,4,False
24,240.0,0.0,13,M1,R4,True,7043863.120225582,1000000.0,3,False
24,240.0,0.0,13,R1,S1,True,4533328.284848934,500000.0,2,True
24,240.0,0.0,13,R1,S2,True,7043863.120225582,500000.0,3,False
24,240.0,0.0,13,R2,S3,True,7830535.74603555,500000.0,1,False
24,240.0,0.0,13,R2,S4,True,6768677.67382266,500000.0,4,False
24,240.0,0.0,13,R3,A1,True,4630208.280677305,500000.0,2,True
24,240.0,0.0,13,R3,A2,True,7043863.120225582,500000.0,3,False
24,240.0,0.0,13,R4,A3,True,7830535.74603555,500000.0,1,False
24,240.0,0.0,13,R4,A4,True,6768677.67382266,500000.0,4,False
25,250.0,0.0,13,M1,R1,True,7830535.74603555,1000000.0,1,False
25,250.0,0.0,13,M1,R2,True,4564457.363727995,1000000.0,2,True
25,250.0,0.0,13,M1,R3,True,6768677.673822663,1000000.0,4,False
25,250.0,0.0,13,M1,R4,True,7043863.120225582,1000000.0,3,False
25,250.0,0.0,13,R1,S1,True,4531830.695661832,500000.0,2,True
25,250.0,0.0,13,R1,S2,True,7043863.120225582,500000.0,3,False
25,250.0,0.0,13,R2,S3,True,7830535.74603555,500000.0,1,False
25,250.0,0.0,13,R2,S4,True,6768677.67382266,500000.0,4,False
25,250.0,0.0,13,R3,A1,True,4628813.6350954,500000.0,2,True
25,250.0,0.0,13,R3,A2,True,7043863.120225582,500000.0,3,False
25,250.0,0.0,13,R4,A3,True,7830535.74603555,500000.0,1,False
25,250.0,0.0,13,R4,A4,True,6768677.67382266,500000.0,4,False
26,260.0,0.0,13,M1,R1,True,7830535.74603555,1000000.0,1,False
26,260.0,0.0,13,M1,R2,True,4562993.065456029,1000000.0,2,True
26,260.0,0.0,13,M1,R3,True,6768677.673822663,1000000.0,4,False
26,260.0,0.0,13,M1,R4,True,7043863.120225582,1000000.0,3,False
26,260.0,0.0,13,R1,S1,True,4530331.463864391,500000.0,2,True
26,260.0,0.0,13,R1,S2,True,7043863.120225582,500000.0,3,False
26,260.0,0.0,13,R2,S3,True,7830535.74603555,500000.0,1,False
26,260.0,0.0,13,R2,S4,True,6768677.67382266,500000.0,4,False
26,260.0,0.0,13,R3,A1,True,4627417.552877186,500000.0,2,True
26,260.0,0.0,13,R3,A2,True,7043863.120225582,500000.0,3,False
26,260.0,0.0,13,R4,A3,True,7830535.74603555,500000.0,1,False
26,260.0,0.0,13,R4,A4,True,6768677.67382266,500000.0,4,False
27,270.0,0.0,13,M1,R1,True,7830535.74603555,1000000.0,1,False
27,270.0,0.0,13,M1,R2,True,4561527.191666975,1000000.0,2,True
27,270.0,0.0,13,M1,R3,True,6768677.673822663,1000000.0,4,False
27,270.0,0.0,13,M1,R4,True,7043863.120225582,1000000.0,3,False
27,270.0,0.0,13,R1,S1,True,4528830.586053436,500000.0,2,True
27,270.0,0.0,13,R1,S2,True,7043863.120225582,500000.0,3,False
27,270.0,0.0,13,R2,S3,True,7830535.74603555,500000.0,1,False
27,270.0,0.0,13,R2,S4,True,6768677.67382266,500000.0,4,False
27,270.0,0.0,13,R3,A1,True,4626020.0312471455,500000.0,2,True
27,270.0,0.0,13,R3,A2,True,7043863.120225582,500000.0,3,False
27,270.0,0.0,13,R4,A3,True,7830535.74603555,500000.0,1,False
27,270.0,0.0,13,R4,A4,True,6768677.67382266,500000.0,4,False
28,280.0,0.0,13,M1,R1,True,7830535.74603555,1000000.0,1,False
28,280.0,0.0,13,M1,R2,True,4560059.739163427,1000000.0,2,True
28,280.0,0.0,13,M1,R3,True,6768677.673822663,1000000.0,4,False
28,280.0,0.0,13,M1,R4,True,7043863.120225582,1000000.0,3,False
28,280.0,0.0,13,R1,S1,True,4527328.0588150965,500000.0,2,True
28,280.0,0.0,13,R1,S2,True,7043863.120225582,500000.0,3,False
