EW_JAMMER_BW_AREA_SELECTION,LINK_LENGTH_METERS,relay_connectivity_config,network_capacity_type,logging_enabled,csv_output_enabled,EW_JAMMER_ACTUAL_BW_AREA,all_drones_passed_ew_x,final_step,num_initial_susceptible_links,num_disconnected_susceptible_links,r1_theoretical_m,r2_theoretical_m,r1_bpsk_m,r2_bpsk_m,r1_qpsk_m,r2_qpsk_m,r1_16qam_m,r2_16qam_m,r1_64qam_m,r2_64qam_m
1,120,CROSS_ROW,SMALL,False,False,1,False,1531,3,1,50.00000000000001,50.00000000000001,190.00000000000003,0.0,260.0,69.99999999999999,539.9999999999999,339.99999999999994,1040.0000000000002,819.9999999999999
1,120,CROSS_ROW,MEDIUM,False,False,1,False,1531,3,1,110.00000000000001,110.00000000000001,430.00000000000006,219.99999999999997,580.0,369.99999999999994,1200.0000000000002,959.9999999999999,2330.0,2029.9999999999998
1,120,CROSS_ROW,LARGE,False,False,1,False,1531,3,3,530.0,89.99999999999999,1950.0000000000005,1589.9999999999998,2590.0000000000005,2239.9999999999995,5380.0,4889.999999999999,9990.000000000002,9730.0
1,120,ALL_CONNECT,SMALL,False,False,1,False,1531,4,1,50.00000000000001,50.00000000000001,190.00000000000003,10.0,269.99999999999994,69.99999999999999,550.0,339.99999999999994,1040.0000000000002,829.9999999999999
1,120,ALL_CONNECT,MEDIUM,False,False,1,False,1531,4,2,110.00000000000001,22.3606797749979,439.99999999999994,229.99999999999997,589.9999999999999,379.99999999999994,1200.0000000000002,979.9999999999999,2330.0,2069.9999999999995
1,120,ALL_CONNECT,LARGE,False,False,1,False,1531,4,4,530.0,149.99999999999997,1950.0000000000005,1629.9999999999998,2590.0000000000005,2279.9999999999995,5380.0,4970.0,9990.000000000002,5584.579773805725
1,130,MINIMAL,SMALL,False,False,1,False,1531,3,1,50.0,50.0,210.0,10.0,300.0,80.0,600.0,380.0,1140.0,910.0
1,130,MINIMAL,MEDIUM,False,False,1,False,1531,3,1,120.0,120.0,480.0,260.0,640.0,420.0,1310.0,1080.0,2530.0,2270.0
1,130,MINIMAL,LARGE,False,False,1,False,1531,3,3,570.0,220.0,2120.0,1810.0,2810.0,2510.0,5830.0,5460.0,9990.0,9990.0
1,130,CROSS_ROW,SMALL,False,False,1,False,1531,3,1,50.0,50.0,210.0,0.0,290.0,70.0,590.0,360.0,1130.0,880.0
