EW_JAMMER_BW_AREA_SELECTION,LINK_LENGTH_METERS,relay_connectivity_config,capacity_requirement,logging_enabled,csv_output_enabled,EW_JAMMER_ACTUAL_BW_AREA,all_drones_passed_ew_x,final_step,num_initial_susceptible_links,num_disconnected_susceptible_links,r1_theoretical_m,r2_theoretical_m,rs1_theoretical_m,rs2_theoretical_m,ra1_theoretical_m,ra2_theoretical_m,r1_bpsk_m,r2_bpsk_m,rs1_bpsk_m,rs2_bpsk_m,ra1_bpsk_m,ra2_bpsk_m,r1_qpsk_m,r2_qpsk_m,rs1_qpsk_m,rs2_qpsk_m,ra1_qpsk_m,ra2_qpsk_m,r1_16qam_m,r2_16qam_m,rs1_16qam_m,rs2_16qam_m,ra1_16qam_m,ra2_16qam_m,r1_64qam_m,r2_64qam_m,rs1_64qam_m,rs2_64qam_m,ra1_64qam_m,ra2_64qam_m
1,100,MINIMAL,4111538,False,False,1,False,1531,3,3,399.99999999999994,140.0,400.0,300.0,140.0,140.0,1479.9999999999998,1250.0000000000002,1480.0,1420.0,1250.0,1250.0,1949.9999999999995,1740.0000000000002,1950.0,1910.0,1740.0,1740.0,4059.9999999999995,3790.0000000000005,4060.0,3960.0,3790.0,3790.0,7919.999999999999,7530.000000000001,7920.0,7710.0,7530.0,7530.0
1,100,MINIMAL,4238461,False,False,1,False,1531,3,3,399.99999999999994,140.0,400.0,310.0,140.0,140.0,1499.9999999999998,1270.0,1500.0,1440.0,1270.0,1270.0,1979.9999999999998,1770.0000000000002,1980.0,1940.0,1770.0,1770.0,4120.0,3850.000000000001,4120.0,4030.0,3850.0,3850.0,8039.999999999999,7650.000000000002,8040.0,7830.0,7650.0,7650.0
1,100,MINIMAL,4365384,False,False,1,False,1531,3,3,409.99999999999994,140.0,410.0,310.0,140.0,140.0,1519.9999999999998,1290.0000000000002,1520.0,1460.0,1290.0,1290.0,2009.9999999999998,1790.0000000000002,2010.0,1970.0,1790.0,1790.0,4180.0,3910.000000000001,4180.0,4080.0,3910.0,3910.0,8159.999999999999,7760.000000000001,8160.0,7940.0,7760.0,7760.0
1,100,MINIMAL,4492307,False,False,1,False,1531,3,3,419.99999999999994,150.00000000000003,420.0,320.0,150.0,150.0,1539.9999999999998,1310.0000000000002,1540.0,1490.0,1310.0,1310.0,2039.9999999999998,1820.0000000000002,2040.0,2000.0,1820.0,1820.0,4249.999999999999,3970.0000000000005,4250.0,4140.0,3970.0,3970.0,8279.999999999998,7880.000000000001,8280.0,8060.0,7880.0,7880.0
1,100,MINIMAL,4619230,False,False,1,False,1531,3,3,419.99999999999994,150.00000000000003,420.0,320.0,150.0,150.0,1559.9999999999998,1330.0000000000002,1560.0,1510.0,1330.0,1330.0,2069.9999999999995,1850.0000000000005,2070.0,2030.0,1850.0,1850.0,4299.999999999999,4020.0000000000005,4300.0,4200.0,4020.0,4020.0,8399.999999999998,7990.000000000001,8400.0,8170.0,7990.0,7990.0
1,100,MINIMAL,4746153,False,False,1,False,1531,3,3,430.0,160.00000000000003,430.0,330.0,160.0,160.0,1589.9999999999998,1350.0000000000002,1590.0,1530.0,1350.0,1350.0,2099.9999999999995,1880.0000000000005,2100.0,2050.0,1880.0,1880.0,4359.999999999999,4080.0000000000005,4360.0,4260.0,4080.0,4080.0,8510.0,8100.000000000002,8510.0,8280.0,8100.0,8100.0
1,100,MINIMAL,4873076,False,False,1,False,1531,3,3,430.0,160.00000000000003,430.0,330.0,160.0,160.0,1609.9999999999998,1370.0,1610.0,1550.0,1370.0,1370.0,2129.9999999999995,1900.0000000000005,2130.0,2080.0,1900.0,1900.0,4420.0,4140.000000000001,4420.0,4310.0,4140.0,4140.0,8629.999999999998,8210.0,8630.0,8390.0,8210.0,8210.0
1,100,MINIMAL,5000000,False,False,1,False,1531,3,3,439.99999999999994,160.00000000000003,440.0,330.0,160.0,160.0,1629.9999999999998,1390.0000000000002,1630.0,1560.0,1390.0,1390.0,2160.0,1930.0000000000005,2160.0,2110.0,1930.0,1930.0,4480.0,4190.000000000001,4480.0,4370.0,4190.0,4190.0,8740.0,8320.000000000002,8740.0,8500.0,8320.0,8320.0
1,100,CROSS_ROW,50000,False,False,1,False,1531,3,1,40.0,40.0,nan,nan,nan,nan,160.00000000000003,0.0,160.0,160.0,0.0,0.0,220.00000000000003,60.00000000000001,220.0,220.0,60.0,60.0,450.0000000000001,280.0,450.0,450.0,280.0,280.0,869.9999999999999,680.0000000000001,850.0,850.0,680.0,680.0
1,100,CROSS_ROW,176923,False,False,1,False,1531,3,1,80.0,80.0,nan,nan,nan,nan,300.00000000000006,130.00000000000003,300.0,300.0,130.0,130.0,410.00000000000006,230.00000000000003,410.0,410.0,230.0,230.0,839.9999999999999,650.0000000000001,830.0,830.0,650.0,650.0,1629.9999999999998,1400.0000000000002,1580.0,1580.0,1400.0,1400.0
